AL, 18, 2012102212,   , BEST,   0, 131N,  786W,  30, 1002, TD,   0,    ,    0,    0,    0,    0, 1007,  250,  75,   0,   0,   L,   0,    ,   0,   0,   EIGHTEEN, M, 
AL, 18, 2012102218,   , BEST,   0, 127N,  787W,  35, 1000, TS,  34, NEQ,   50,   60,    0,    0, 1007,  250,  60,  45,   0,   L,   0,    ,   0,   0,   EIGHTEEN, M, 
AL, 18, 2012102300,   , BEST,   0, 126N,  784W,  40,  998, TS,  34, NEQ,   50,   60,    0,    0, 1007,  250,  40,  50,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,   60,   60,    0,    0
AL, 18, 2012102306,   , BEST,   0, 129N,  781W,  40,  998, TS,  34, NEQ,   70,   80,    0,    0, 1005,  240,  60,  50,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,   60,   45,    0,   45
AL, 18, 2012102312,   , BEST,   0, 134N,  779W,  40,  995, TS,  34, NEQ,  100,  100,    0,    0, 1005,  240,  60,  55,   0,   L,   0,    ,   0,   0,      SANDY, M, 
AL, 18, 2012102318,   , BEST,   0, 140N,  776W,  45,  993, TS,  34, NEQ,  100,  120,    0,    0, 1005,  240,  60,  55,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,   75,   60,    0,   50
AL, 18, 2012102400,   , BEST,   0, 147N,  773W,  55,  990, TS,  34, NEQ,  100,  150,   40,   40, 1007,  300,  60,  60,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,   90,   90,    0,   50
AL, 18, 2012102400,   , BEST,   0, 147N,  773W,  55,  990, TS,  50, NEQ,    0,   70,    0,    0, 1007,  300,  60,  60,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,   90,   90,    0,   50
AL, 18, 2012102406,   , BEST,   0, 156N,  771W,  60,  987, TS,  34, NEQ,  100,  150,   50,   50, 1007,  300,  45,  65,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  180,    0,    0
AL, 18, 2012102406,   , BEST,   0, 156N,  771W,  60,  987, TS,  50, NEQ,   50,   70,   20,   20, 1007,  300,  45,  65,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  180,    0,    0
AL, 18, 2012102412,   , BEST,   0, 166N,  769W,  65,  981, HU,  34, NEQ,  120,  160,   70,   70, 1006,  285,  40,  75,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  180,   45,  100
AL, 18, 2012102412,   , BEST,   0, 166N,  769W,  65,  981, HU,  50, NEQ,   50,   60,   40,   30, 1006,  285,  40,  75,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  180,   45,  100
AL, 18, 2012102412,   , BEST,   0, 166N,  769W,  65,  981, HU,  64, NEQ,   20,   20,    0,    0, 1006,  285,  40,  75,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  180,   45,  100
AL, 18, 2012102418,   , BEST,   0, 177N,  767W,  75,  972, HU,  34, NEQ,  150,  180,   70,   70, 1005,  290,  25,  85,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  240,    0,   90
AL, 18, 2012102418,   , BEST,   0, 177N,  767W,  75,  972, HU,  50, NEQ,   50,   60,   40,   40, 1005,  290,  25,  85,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  240,    0,   90
AL, 18, 2012102418,   , BEST,   0, 177N,  767W,  75,  972, HU,  64, NEQ,   25,   30,   20,   25, 1005,  290,  25,  85,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  240,    0,   90
AL, 18, 2012102500,   , BEST,   0, 189N,  764W,  85,  964, HU,  34, NEQ,  180,  240,   70,   70, 1005,  300,  15, 100,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  240,    0,   90
AL, 18, 2012102500,   , BEST,   0, 189N,  764W,  85,  964, HU,  50, NEQ,   50,   60,   40,   40, 1005,  300,  15, 100,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  240,    0,   90
AL, 18, 2012102500,   , BEST,   0, 189N,  764W,  85,  964, HU,  64, NEQ,   30,   30,   25,   25, 1005,  300,  15, 100,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  240,    0,   90
